game,seed0,seed1,seed2,seed3,seed4,mean
cryptkeepers-of-hallowford,24.0,22.0,26.0,26.9,31.8,26.1
daring-mermaid-expedition,24.3,18.8,24.4,28.6,19.7,23.1
deathless-the-citys-thirst,24.0,28.0,24.0,20.0,30.4,25.3
demon-mark,7.4,7.4,6.0,9.6,7.8,7.6
diabolical,72.7,69.4,72.0,72.9,68.6,71.1
empyrean,48.0,47.3,48.7,31.3,42.0,43.5
hero-of-kendrickstone,26.0,22.6,32.3,38.8,37.9,31.5
heroes-rise,28.7,37.3,30.0,34.0,32.7,32.5
i-cyborg,1.3,1.3,0.7,1.3,0.0,0.9
light-years-apart,18.7,20.7,18.7,19.3,19.3,19.3
road-to-canterbury,28.0,32.0,26.7,34.0,31.3,30.4
runt-of-the-litter,41.1,28.9,38.0,33.0,37.8,35.7
silverworld,24.0,36.7,24.0,32.0,28.0,28.9
to-the-city-of-the-clouds,40.3,39.0,36.8,40.0,33.9,38.0
undercover-agent,70.8,63.2,67.7,66.3,70.4,67.7
vampire-the-masquerade_night-road,22.7,39.3,32.7,33.3,28.0,31.2
versus-elite-trials,44.2,40.5,41.6,43.5,44.2,42.8
werewolves-haven-rising,40.0,44.0,41.3,44.0,38.7,41.6
wise-use-of-time,34.0,31.3,34.7,32.0,31.3,32.7
wraiths-of-sentinel,51.3,23.3,44.0,8.7,50.7,35.6
